\\Generator Output Capability Month Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2019-07-01 06:00:12,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For June 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery Date,Generator,Fuel Type,Measurement,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
6/1/2019,ABKENORA,HYDRO,Capability,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6/1/2019,ABKENORA,HYDRO,Output,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6/1/2019,ADELAIDE,WIND,Available Capacity,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
6/1/2019,ADELAIDE,WIND,Forecast,41,50,32,8,3,2,1,1,1,1,2,2,1,2,12,32,1,6,1,1,0,0,1,1
6/1/2019,ADELAIDE,WIND,Output,35,15,0,0,0,0,0,0,0,0,2,0,1,1,14,0,1,0,0,0,0,0,0,0
6/1/2019,AGUASABON,HYDRO,Capability,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
6/1/2019,AGUASABON,HYDRO,Output,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
6/1/2019,ALEXANDER,HYDRO,Capability,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
6/1/2019,ALEXANDER,HYDRO,Output,48,48,48,48,48,48,48,48,48,48,49,49,49,48,49,49,49,49,48,49,48,49,49,49
6/1/2019,AMARANTH,WIND,Available Capacity,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
6/1/2019,AMARANTH,WIND,Forecast,37,3,6,10,12,26,8,0,0,1,1,9,20,8,3,39,126,39,2,1,1,1,15,52
6/1/2019,AMARANTH,WIND,Output,27,0,2,9,13,28,4,0,0,0,0,12,22,5,4,30,128,12,0,0,1,1,19,43
6/1/2019,AMHERST ISLAND,WIND,Available Capacity,0,0,0,0,0,0,0,6,16,13,3,0,1,1,0,0,0,0,0,0,0,0,0,0
6/1/2019,AMHERST ISLAND,WIND,Forecast,4,7,7,6,9,13,19,14,14,13,4,0,1,1,1,2,1,0,0,0,1,0,1,5
6/1/2019,AMHERST ISLAND,WIND,Output,0,0,0,0,0,0,0,6,16,13,3,0,1,1,0,0,0,0,0,0,0,0,0,0
6/1/2019,APIROQUOIS,HYDRO,Capability,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
6/1/2019,APIROQUOIS,HYDRO,Output,85,85,85,85,85,85,85,85,85,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85
6/1/2019,ARMOW,WIND,Available Capacity,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
6/1/2019,ARMOW,WIND,Forecast,17,14,25,14,7,2,0,0,0,0,0,4,1,1,30,33,13,2,1,2,1,1,6,6
6/1/2019,ARMOW,WIND,Output,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,2,0
6/1/2019,ARNPRIOR,HYDRO,Capability,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
6/1/2019,ARNPRIOR,HYDRO,Output,41,41,40,37,38,40,40,40,40,40,40,40,40,40,38,37,38,40,40,41,40,40,41,41
6/1/2019,ATIKOKAN-G1,BIOFUEL,Capability,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
6/1/2019,ATIKOKAN-G1,BIOFUEL,Output,0,0,0,0,0,0,0,0,0,0,0,2,4,33,62,55,68,121,131,106,64,57,9,0
6/1/2019,AUBREYFALLS,HYDRO,Capability,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
6/1/2019,AUBREYFALLS,HYDRO,Output,4,0,0,0,59,63,63,63,63,63,63,63,64,63,63,63,63,63,63,64,63,63,63,63
6/1/2019,BARRETT,HYDRO,Capability,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
6/1/2019,BARRETT,HYDRO,Output,37,35,35,35,35,92,95,95,95,95,95,95,95,40,35,35,91,95,95,95,95,95,95,95
6/1/2019,BECK1,HYDRO,Capability,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423
6/1/2019,BECK1,HYDRO,Output,127,103,87,88,87,90,91,296,347,341,320,345,356,309,296,311,310,310,308,310,309,309,152,111
6/1/2019,BECK2,HYDRO,Capability,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656
6/1/2019,BECK2,HYDRO,Output,998,1008,1016,969,955,1029,1022,1323,1273,1226,1253,1284,1248,1224,1219,1242,1268,1361,1259,1326,1229,1301,971,933
6/1/2019,BECK2 PGS,HYDRO,Capability,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
6/1/2019,BECK2 PGS,HYDRO,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1/2019,BELLE RIVER,WIND,Available Capacity,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6/1/2019,BELLE RIVER,WIND,Forecast,96,95,96,90,81,60,52,39,35,37,43,41,47,51,57,37,38,44,29,32,30,11,19,37
